,filename,mAP
111,F:\Datasets\TFMTestRemake\CropInput\1218_PresaDeHornos_frame_13_06_10_000.jpg,1.0
112,F:\Datasets\TFMTestRemake\CropInput\1219_PresaDeHornos_frame_13_06_10_000.jpg,1.0
113,F:\Datasets\TFMTestRemake\CropInput\121_Arucas_frame_01_42_38_000.jpg,0.5
114,F:\Datasets\TFMTestRemake\CropInput\1221_PresaDeHornos_frame_12_23_39_000.jpg,1.0
115,F:\Datasets\TFMTestRemake\CropInput\1223_PresaDeHornos_frame_12_01_32_000.jpg,1.0
116,F:\Datasets\TFMTestRemake\CropInput\1224_Teror_frame_02_13_48_000.jpg,1.0
117,F:\Datasets\TFMTestRemake\CropInput\1225_Teror_frame_01_17_23_000.jpg,1.0
118,F:\Datasets\TFMTestRemake\CropInput\1226_PresaDeHornos_frame_14_07_32_000.jpg,1.0
119,F:\Datasets\TFMTestRemake\CropInput\1227_Teror_frame_02_47_28_000.jpg,1.0
120,F:\Datasets\TFMTestRemake\CropInput\1229_Teror_frame_02_35_15_000.jpg,0.0
121,F:\Datasets\TFMTestRemake\CropInput\122_ParqueSur_frame_19_22_16_000.jpg,1.0
122,F:\Datasets\TFMTestRemake\CropInput\1230_Teror_frame_02_35_15_000.jpg,1.0
123,F:\Datasets\TFMTestRemake\CropInput\1232_PresaDeHornos_frame_11_56_17_000.jpg,1.0
124,F:\Datasets\TFMTestRemake\CropInput\1233_PresaDeHornos_frame_11_56_17_000.jpg,1.0
125,F:\Datasets\TFMTestRemake\CropInput\1234_PresaDeHornos_frame_13_16_12_000.jpg,0.0
126,F:\Datasets\TFMTestRemake\CropInput\1236_PresaDeHornos_frame_13_42_11_000.jpg,1.0
127,F:\Datasets\TFMTestRemake\CropInput\1238_Teror_frame_03_10_52_000.jpg,1.0
128,F:\Datasets\TFMTestRemake\CropInput\123_Arucas_frame_01_45_36_000.jpg,0.0
129,F:\Datasets\TFMTestRemake\CropInput\1241_PresaDeHornos_frame_12_44_16_000.jpg,1.0
130,F:\Datasets\TFMTestRemake\CropInput\1242_PresaDeHornos_frame_12_44_16_000.jpg,0.0
131,F:\Datasets\TFMTestRemake\CropInput\1244_PresaDeHornos_frame_11_26_31_000.jpg,0.0
132,F:\Datasets\TFMTestRemake\CropInput\1245_Teror_frame_02_18_35_000.jpg,1.0
133,F:\Datasets\TFMTestRemake\CropInput\1249_Teror_frame_03_05_25_000.jpg,1.0
134,F:\Datasets\TFMTestRemake\CropInput\1253_PresaDeHornos_frame_12_58_42_000.jpg,1.0
135,F:\Datasets\TFMTestRemake\CropInput\1255_Teror_frame_02_25_34_000.jpg,0.0
136,F:\Datasets\TFMTestRemake\CropInput\1256_Teror_frame_02_25_34_000.jpg,1.0
137,F:\Datasets\TFMTestRemake\CropInput\1257_PresaDeHornos_frame_12_52_46_000.jpg,0.0
138,F:\Datasets\TFMTestRemake\CropInput\1258_PresaDeHornos_frame_12_52_46_000.jpg,1.0
139,F:\Datasets\TFMTestRemake\CropInput\1261_PresaDeHornos_frame_14_05_43_000.jpg,1.0
140,F:\Datasets\TFMTestRemake\CropInput\1263_Teror_frame_02_33_29_000.jpg,1.0
141,F:\Datasets\TFMTestRemake\CropInput\1264_Teror_frame_03_27_55_000.jpg,1.0
142,F:\Datasets\TFMTestRemake\CropInput\1265_Teror_frame_03_27_55_000.jpg,1.0
143,F:\Datasets\TFMTestRemake\CropInput\1266_Teror_frame_02_46_38_000.jpg,1.0
144,F:\Datasets\TFMTestRemake\CropInput\1268_Teror_frame_02_46_38_000.jpg,1.0
145,F:\Datasets\TFMTestRemake\CropInput\1272_Teror_frame_02_40_51_000.jpg,1.0
146,F:\Datasets\TFMTestRemake\CropInput\1275_Teror_frame_02_40_51_000.jpg,0.0
147,F:\Datasets\TFMTestRemake\CropInput\1276_Teror_frame_02_04_18_000.jpg,1.0
148,F:\Datasets\TFMTestRemake\CropInput\1277_PresaDeHornos_frame_11_12_35_000.jpg,1.0
149,F:\Datasets\TFMTestRemake\CropInput\1280_PresaDeHornos_frame_12_47_07_000.jpg,1.0
150,F:\Datasets\TFMTestRemake\CropInput\1281_PresaDeHornos_frame_13_12_54_000.jpg,1.0
151,F:\Datasets\TFMTestRemake\CropInput\1283_Teror_frame_03_26_08_000.jpg,1.0
152,F:\Datasets\TFMTestRemake\CropInput\1284_Teror_frame_02_28_44_000.jpg,1.0
153,F:\Datasets\TFMTestRemake\CropInput\1289_Teror_frame_02_17_43_000.jpg,1.0
154,F:\Datasets\TFMTestRemake\CropInput\1290_Teror_frame_02_22_51_000.jpg,1.0
155,F:\Datasets\TFMTestRemake\CropInput\1292_Teror_frame_02_04_48_000.jpg,1.0
156,F:\Datasets\TFMTestRemake\CropInput\1295_Teror_frame_02_18_06_000.jpg,1.0
157,F:\Datasets\TFMTestRemake\CropInput\12_Arucas_frame_01_28_04_000.jpg,0.0
158,F:\Datasets\TFMTestRemake\CropInput\1300_Teror_frame_03_21_26_000.jpg,1.0
159,F:\Datasets\TFMTestRemake\CropInput\1302_Teror_frame_02_08_22_000.jpg,0.0
160,F:\Datasets\TFMTestRemake\CropInput\1303_Teror_frame_02_08_22_000.jpg,1.0
161,F:\Datasets\TFMTestRemake\CropInput\1305_PresaDeHornos_frame_13_43_18_000.jpg,1.0
162,F:\Datasets\TFMTestRemake\CropInput\1307_Teror_frame_01_27_32_000.jpg,1.0
163,F:\Datasets\TFMTestRemake\CropInput\130_Ayagaures_frame_18_15_19_000.jpg,1.0
164,F:\Datasets\TFMTestRemake\CropInput\1310_Teror_frame_01_27_55_000.jpg,1.0
165,F:\Datasets\TFMTestRemake\CropInput\1312_Teror_frame_02_06_47_000.jpg,0.0
166,F:\Datasets\TFMTestRemake\CropInput\1317_PresaDeHornos_frame_13_00_38_000.jpg,1.0
167,F:\Datasets\TFMTestRemake\CropInput\1319_PresaDeHornos_frame_13_00_38_000.jpg,1.0
168,F:\Datasets\TFMTestRemake\CropInput\1321_Teror_frame_02_25_33_000.jpg,1.0
169,F:\Datasets\TFMTestRemake\CropInput\1323_PresaDeHornos_frame_13_40_43_000.jpg,1.0
170,F:\Datasets\TFMTestRemake\CropInput\1324_PresaDeHornos_frame_13_40_43_000.jpg,1.0
171,F:\Datasets\TFMTestRemake\CropInput\1327_Teror_frame_02_48_10_000.jpg,1.0
172,F:\Datasets\TFMTestRemake\CropInput\1329_Teror_frame_03_19_10_000.jpg,1.0
173,F:\Datasets\TFMTestRemake\CropInput\132_ParqueSur_frame_19_34_52_000.jpg,1.0
174,F:\Datasets\TFMTestRemake\CropInput\1331_Teror_frame_02_33_27_000.jpg,1.0
175,F:\Datasets\TFMTestRemake\CropInput\1333_Teror_frame_02_40_41_000.jpg,1.0
176,F:\Datasets\TFMTestRemake\CropInput\1336_Teror_frame_02_55_40_000.jpg,1.0
177,F:\Datasets\TFMTestRemake\CropInput\1337_PresaDeHornos_frame_12_10_00_000.jpg,1.0
178,F:\Datasets\TFMTestRemake\CropInput\1339_PresaDeHornos_frame_12_10_00_000.jpg,1.0
179,F:\Datasets\TFMTestRemake\CropInput\1340_Teror_frame_03_18_03_000.jpg,1.0
180,F:\Datasets\TFMTestRemake\CropInput\1341_PresaDeHornos_frame_13_20_23_000.jpg,1.0
181,F:\Datasets\TFMTestRemake\CropInput\1344_Teror_frame_01_54_25_000.jpg,1.0
182,F:\Datasets\TFMTestRemake\CropInput\1348_Teror_frame_02_26_07_000.jpg,1.0
183,F:\Datasets\TFMTestRemake\CropInput\1350_PresaDeHornos_frame_12_40_01_000.jpg,1.0
184,F:\Datasets\TFMTestRemake\CropInput\1351_PresaDeHornos_frame_12_40_01_000.jpg,1.0
185,F:\Datasets\TFMTestRemake\CropInput\1353_Teror_frame_02_11_02_000.jpg,1.0
186,F:\Datasets\TFMTestRemake\CropInput\1357_Teror_frame_02_18_49_000.jpg,1.0
187,F:\Datasets\TFMTestRemake\CropInput\135_Ayagaures_frame_14_44_20_000.jpg,1.0
188,F:\Datasets\TFMTestRemake\CropInput\1360_Teror_frame_02_40_48_000.jpg,1.0
189,F:\Datasets\TFMTestRemake\CropInput\1362_Teror_frame_02_25_35_000.jpg,1.0
190,F:\Datasets\TFMTestRemake\CropInput\1363_Teror_frame_01_32_44_000.jpg,1.0
191,F:\Datasets\TFMTestRemake\CropInput\1364_Teror_frame_02_35_46_000.jpg,1.0
192,F:\Datasets\TFMTestRemake\CropInput\1367_Teror_frame_03_06_48_000.jpg,1.0
193,F:\Datasets\TFMTestRemake\CropInput\1370_Teror_frame_02_43_48_000.jpg,0.0
