,filename,mAP
105,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_40_16_000.jpg,0.0
106,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_40_18_000.jpg,1.0
107,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_40_19_000.jpg,0.8333333134651184
108,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_40_21_000.jpg,1.0
109,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_40_40_000.jpg,0.25
110,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_40_42_000.jpg,0.5
111,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_40_44_000.jpg,1.0
112,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_40_52_000.jpg,1.0
113,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_41_00_000.jpg,1.0
114,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_41_01_000.jpg,0.3333333432674408
115,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_41_13_000.jpg,0.5
116,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_41_22_000.jpg,1.0
117,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_41_52_000.jpg,1.0
118,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_41_55_000.jpg,0.0
119,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_41_58_000.jpg,1.0
120,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_42_30_000.jpg,1.0
121,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_42_31_000.jpg,1.0
122,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_42_33_000.jpg,0.25
123,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_42_38_000.jpg,0.5
124,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_42_47_000.jpg,0.6666666865348816
125,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_42_53_000.jpg,1.0
126,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_42_55_000.jpg,1.0
127,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_43_20_000.jpg,1.0
128,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_43_48_000.jpg,1.0
129,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_43_49_000.jpg,1.0
130,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_43_50_000.jpg,0.0
131,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_44_13_000.jpg,1.0
132,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_44_35_000.jpg,0.5
133,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_44_40_000.jpg,1.0
134,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_44_42_000.jpg,1.0
135,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_44_45_000.jpg,1.0
136,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_44_47_000.jpg,0.6666666865348816
137,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_44_49_000.jpg,1.0
138,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_44_52_000.jpg,1.0
139,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_45_10_000.jpg,1.0
140,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_45_15_000.jpg,1.0
